Các dạng so sánh;Công thức;Cách dùng;Ví dụ
So sánh bằng (Equality);Với Tính từ/ Trạng từ:  S + V + as + adj/adv +as + Object/ Noun/ Pronoun.                                           Với danh từ:  S + V + as + many/ much/ little/ few + Noun + as + Noun/ Pronoun.                      Hoặc.                                                            S + V + the same + Noun + as + Noun/ Pronoun;dùng để so sánh giữa các sự vật, sự việc với tính chất, mức độ, thuộc tính nào đó ngang nhau.;"An is as tall as his brother. (An cao bằng anh trai cậu ấy)
Mai sings as beautifully as Hang. (Mai hát hay như Hằng)
My mother don’t like cats as much as I do. (Mẹ tôi không thích mèo bằng tôi.)
"
So sánh hơn (Comparative);Tính từ/ Trạng từ ngắn: S + V + adj/adv-er + than + Object/ Noun/ Pronoun.                             Tính từ/ trạng từ dài:    S + V + more + adj/adv + than + Object/ Noun/ Pronoun;dùng để so sánh hai đối tượng với nhau, đối tượng này có tính chất, mức độ, thuộc tính nào đó nổi trội hơn đối tượng kia.;"My exercise is easier than yours. (Bài tập của tôi dễ hơn của bạn.)
He is more intelligent than her. (Anh ấy thông minh hơn cô ấy)
"
 so sánh nhất;Tính từ/ Trạng từ ngắn: S + V + the + adj/adv-est + than + Object/ Noun/ Pronoun.                                                             Tính từ/ trạng từ dài:  S + V + the most + adj/adv + than + Object/ Noun/ Pronoun                  ;dùng để so sánh một đối tượng với nhiều đối tượng khác (từ 2 đối tượng trở lên) hoặc một tập thể để làm nổi bật một tính chất, đặc điểm, thuộc tính nào đó của đối tượng.;"Binh is the fastest runner in my class. (Bình là người chạy nhanh nhất lớp tôi.)
Nam is the most outstanding student in our class. (Nam là học sinh nổi bật nhất lớp chúng tôi.)
"
So sánh bội số;S + V + twice as adj/ adv as + Noun/ Pronoun.                             S + V + multiple numbers as + much/many/adj/adv + Noun + as + Noun/ Pronoun;So sánh bội số cũng là việc so sánh một đối tượng với một đối tượng khác. Tuy nhiên, điều đặc biệt ở đây là người dùng có thể đong đếm sự khác biệt (lớn hơn, nhỏ hơn) của đặc điểm bằng con số.;"He is twice as tall as me. (Anh ấy cao gấp đôi tôi)
The Lotte tower is three times as tall as my apartment building. (Tòa Lotte cao gấp 3 lần so với tòa nhà chung cư của tôi)"
So sánh kép;The + comparative 1 + S1 + V2 + the + comparative 2 + S2 + V2;Đây là một cấu trúc khá đặc biệt trong tiếng Anh. Loại cấu trúc câu này thường được sử dụng trong các câu thành ngữ.;"The more you exercise, the thinner you become. (Bạn càng tập thể dục, bạn càng trở nên gầy đi.)
"
