Loại đại từ;Cách dùng;Đại từ;Ví dụ
Đại từ nhân xưng;Chỉ người/ nhóm người và sự vật cụ thể;"I – me
You – you
We – us
They – them
He – him
She – her
It – it";"She will come to the party.
(Cô ấy sẽ đến bữa tiệc thôi.)"
Đại từ phản thân;Dùng khi chủ ngữ và tân ngữ là cùng một đối tượng;"myself
yourself
ourselves
themselves
himself
herself
itself";"I made a cake for myself on my birthday.
(Tôi tự làm một chiếc bánh cho mình vào ngày sinh nhật.)"
Đại từ chỉ định;Chỉ định sự vật hoặc nhận dạng ai đó;"this
that
these
those";"This is the most wonderful book I have ever read.
(Đây là cuốn sách tuyệt nhất tôi đã từng đọc)"
Đại từ sở hữu;Dùng để chỉ vật gì là của ai;"mine
yours
ours
their
his
hers
its";"All of these presents are yours.
(Tất cả những món quà này là của con.)"
Đại từ quan hệ;Dùng thay danh từ đi trước, có chức năng nối mệnh đề chính với mệnh đề phụ trong mệnh đề quan hệ.;"who – whom
which
that
whose";"I love my mother who always supports me.
(Tôi yêu mẹ tôi, người đã luôn ủng hộ tôi.)"
Đại từ bất định;Chỉ một hoặc nhiều đối tượng (người/ vật) không xác định.;"another
each
either
much
neither
both
few
many
others
all
any
more
most
…";"– There isn’t any milk in the fridge.
(Không còn sữa ở trong tủ lạnh.)
– She spent some of the money fixing her car.
(Cô ấy sử dụng một chút tiền để sửa xe.)
– None of them knows the truth.
(Không một ai biết sự thật.)"
Đại từ nhấn mạnh;Thường đứng ngay sau danh từ hoặc đại từ để nhấn mạnh, mang nghĩa “chính người đó/ sự vật đó”.;"myself
yourself
ourselves
themselves
himself
herself
itself";"The movie itself wasn’t very interesting but I love the main character.
(Bộ phim cũng không thú vị lắm nhưng tôi thích nhân vật chính.)"
