Câu điều kiện;Công thức;Cách dùng;Ví dụ
Loại 0;If + present simple, present simple;Diễn tả sự thật hiển nhiên;If water boils, it turns into steam. (Khi nước sôi, nó chuyển thành hơi nước.)
Loại 1;If + present simple, future simple;Diễn tả hành động/ sự việc có thể xảy ra trong tương lai;If it rains tomorrow, we will stay indoors. (Nếu mai mưa, chúng ta sẽ ở nhà.)
Loại 2;If + past simple, would V-inf;Diễn tả một điều không có thật ở hiện tại;If I had more time, I would travel around the world. (Nếu tôi có nhiều thời gian hơn, tôi sẽ đi du lịch vòng quanh thế giới.)
Loại 3;If + past perfect, would have + V3;Diễn tả một điều không có thật ở quá khứ;If she had studied harder, she would have passed the exam. ( Nếu cô ấy đã học chăm chỉ hơn, cô ấy đã vượt qua kỳ thi.)
Loại 2 + Loại 3 (hỗn hợp);If + past simple, would have + V3;Diễn tả một điều nếu không có thật ở hiện tại thì chắc chắn điều kia không thể xảy ra ở quá khứ;If I saved more money, I would have bought a car last year. (Nếu tôi đã tiết kiệm được nhiều tiền hơn, tôi đã mua một chiếc xe hơi vào năm ngoái rồi.)
Loại 3 + Loại 2 (hỗn hợp);If + past perfect, would V-inf;Diễn tả một điều nếu không có thật ở quá khứ thì chắc chắn điều kia không thể có ở hiện tại;If she had taken the bus, she wouldn't be late for work now. (Nếu cô ấy đã đi bằng xe buýt, cô ấy không bị muộn giờ làm việc bây giờ.)
